#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
G,https://github.com/fentas/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/fentas/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/fentas/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/fentas/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,google-chrome,"browser that you becomes the data."
A,firefox,"a free web browser backed by Mozilla, a non-profit dedicated to internet health and privacy."
,btop,"better htop."
A,spotify,"is all the music you'll ever need."
A,signal-desktop,"Share text, voice messages, photos, videos, GIFs and files for free."
A,hplip-plugin,"Binary plugin for HPs hplip printer driver library"
A,vscodium,"Free/Libre Open Source Software Binaries of VSCode (git build from latest release)."